-0.42578,-0.37875,-0.39618,-0.49083,-0.65675,-0.81451,-0.83564,-0.83732,-0.91665,-1.0455,-1.1193,-1.0641,-1.0855,-1.2163,-1.2576,-1.3689,-1.5088,-1.6976,-1.6428,-1.6532,-1.708,-1.7249,-1.7534,-1.8628,-1.9741
0.21213,0.097576,0.22422,0.30602,-0.013677,-0.2779,-0.40017,-0.40532,-0.34548,-0.33804,-0.41231,-0.43903,-0.46888,-0.40752,-0.44032,-0.42093,-0.42539,-0.39732,-0.52629,-0.54921,-0.50302,-0.51578,-0.5297,-0.4735,-0.40169
1.0111,0.769,0.5664,0.22858,-0.071885,-0.30297,-0.46942,-0.51763,-0.40422,-0.30713,-0.26222,-0.23304,-0.22759,-0.17534,-0.05915,0.045036,0.10121,0.1096,0.17783,0.217,0.2686,0.34517,0.42399,0.48977,0.56871
-2.2462,-2.2751,-2.3007,-2.1919,-2.0527,-1.9606,-1.8979,-1.7797,-1.66,-1.4207,-1.2971,-1.2921,-1.1589,-0.96409,-0.83701,-0.69575,-0.5759,-0.39707,-0.29637,-0.15909,-0.055947,-0.035026,0.0058802,0.16607,0.37705
-1.494,-1.1158,-0.91711,-0.73085,-0.60626,-0.4396,-0.2711,-0.16104,-0.17225,-0.12139,0.11194,0.21832,0.31348,0.31834,0.40076,0.42204,0.38474,0.22531,0.23352,0.19791,0.11526,0.05266,-0.010226,-0.12626,-0.27822
-0.54182,-0.42897,-0.082141,0.20585,0.43081,0.51224,0.61562,0.79306,1.1118,1.3713,1.417,1.3109,1.1736,1.0226,0.79558,0.61764,0.57404,0.5933,0.39175,0.23219,0.18831,0.22627,0.29272,0.34779,0.44867
-2.0631,-1.8543,-1.6007,-1.3954,-0.99652,-0.76854,-0.70324,-0.74455,-0.82473,-0.78947,-0.81818,-1.0628,-1.1427,-1.1659,-1.1296,-1.1404,-1.0312,-1.0331,-0.92617,-0.93663,-0.97839,-1.0107,-1.0334,-1.075,-1.0791
0.68004,0.76868,0.69563,0.66871,0.66948,0.65135,0.5454,0.36586,0.1155,-0.080349,-0.12855,-0.18532,-0.31145,-0.54645,-0.59785,-0.56812,-0.60876,-0.66037,-0.73822,-0.79947,-0.89661,-0.96124,-0.92579,-0.77826,-0.64067
1.2001,0.97345,0.43527,-0.077406,-0.31822,-0.39265,-0.60971,-0.96773,-1.2162,-1.2482,-1.2531,-1.2494,-1.2257,-1.2775,-1.2597,-1.2218,-1.1582,-1.0813,-0.88158,-0.74873,-0.65853,-0.56905,-0.5155,-0.4973,-0.43498
1.0038,0.72163,0.43709,0.058616,-0.32711,-0.37441,-0.26811,-0.11957,0.10966,0.13424,-0.069226,-0.058934,0.029963,0.35242,0.36334,0.28869,0.26118,0.31979,0.36046,0.44982,0.62862,0.82422,0.95556,1.0535,1.2033
0.8921,0.39736,0.05173,-0.58386,-1.174,-1.4326,-1.2981,-1.0633,-0.92592,-1.2311,-1.3466,-1.0783,-1.0332,-0.89367,-0.60067,-0.45792,-0.50616,-0.63965,-0.71826,-0.72647,-0.69899,-0.61717,-0.46927,-0.38461,-0.47181
-1.1818,-1.2951,-1.31,-1.3499,-1.3932,-1.3359,-1.0847,-0.58292,0.075638,0.55595,0.46315,0.26328,0.04829,0.052407,0.16097,0.32156,0.42833,0.42257,0.42941,0.43341,0.43276,0.34018,0.22496,0.13598,0.14627
