-0.6188,-0.39813,-0.21981,-0.087271,-0.18508,-0.25044,-0.23871,-0.39675,-0.67613,-0.82245,-1.1514,-1.1257,-1.1635,-1.2555,-1.2707,-1.3259,-1.393,-1.3284,-1.4956
0.32179,-0.018768,-0.38349,-0.70608,-0.79859,-1.0007,-1.1989,-1.2252,-1.2025,-1.2746,-1.0597,-1.2356,-1.3408,-1.3487,-1.3873,-1.4368,-1.4426,-1.5464,-1.422
0.047132,-0.13334,-0.39988,-0.64107,-0.96801,-1.1851,-1.2078,-1.1093,-1.0005,-0.80707,-0.57965,-0.15359,-0.027264,0.11332,0.23091,0.24972,0.26644,0.37288,0.51669
-0.43683,-0.85105,-1.0794,-1.1901,-1.1535,-1.0962,-1.066,-0.83749,-0.39317,-0.1675,0.13809,-0.055614,-0.14088,-0.046442,0.037872,0.10308,0.17687,0.11631,0.15007
-2.3875,-1.8852,-1.5344,-1.1366,-0.91582,-0.74679,-0.47449,-0.38509,-0.48028,-0.50626,-0.72879,-0.45257,-0.35324,-0.46639,-0.58438,-0.66031,-0.68463,-0.60176,-0.69128
-1.2199,-1.1835,-0.92584,-0.61081,-0.12596,0.14979,0.13945,0.11302,0.047503,0.046953,0.4588,0.67339,0.63316,0.51423,0.60973,0.79065,0.74157,0.73607,0.91334
-0.93894,-0.68586,-0.52455,-0.11501,0.26192,0.50085,0.8008,1.0021,1.0942,1.1492,0.87915,0.91343,0.94906,0.91072,0.79232,0.80482,1.04,1.2254,1.0204
0.4569,0.35791,0.41955,0.39475,0.16403,-0.17537,-0.6873,-1.1795,-1.5325,-1.8415,-1.8073,-2.0442,-2.4131,-2.5991,-2.4521,-2.2722,-2.3928,-2.5266,-2.5142
1.7505,1.8758,1.8622,1.7047,1.3697,1.1577,1.0109,0.89289,0.87785,0.91656,0.53548,0.39353,0.50733,0.54761,0.45193,0.46792,0.78385,1.0272,1.0315
1.2329,1.4023,1.6521,1.448,0.99469,0.56215,0.27356,0.083718,-0.24721,-0.38079,-0.13757,0.38762,0.63001,0.82708,1.0855,1.2118,1.2282,1.5215,1.8887
-0.15029,-0.24374,-0.55446,-0.89991,-1.3247,-1.8429,-1.9735,-1.5836,-1.1711,-0.93972,-0.69116,-0.71214,-0.65748,-0.44292,-0.38173,-0.38053,-0.39054,-0.6016,-0.69716
0.404,0.15023,-0.11477,-0.15016,-0.029521,0.077114,0.51947,1.3451,2.0171,2.2281,1.9558,1.7465,1.65,1.6508,1.5062,1.2182,0.91531,0.64062,0.41075
