-1.1241,-1.1535,-1.0258,-0.93419,-0.90235,-0.81249,-0.89086,-0.82871,-0.85709,-0.84071,-0.99721,-1.0311,-1.0625,-1.2935,-1.4623,-1.6208,-1.7726,-1.8639,-1.9063,-1.9696,-2.1811
1.7293,1.5793,1.2122,0.76943,0.42171,0.13242,-0.0012228,-0.24371,-0.28656,-0.45657,-0.55015,-0.30592,-0.29244,-0.23786,-0.2464,-0.17582,-0.094599,-0.13526,-0.28536,-0.33855,-0.18214
2.1239,1.7627,1.3949,1.0025,0.64973,0.33264,-0.032551,-0.26444,-0.19748,-0.041927,-0.0062427,0.31746,0.59073,0.68893,0.84901,1.0137,1.0611,1.1964,1.4467,1.4635,1.376
-1.4954,-1.4471,-1.6157,-1.7043,-1.6114,-1.5271,-1.4336,-1.3627,-1.083,-1.0131,-1.1759,-1.1565,-0.75981,-0.58803,-0.2976,-0.026004,0.069007,0.17056,0.34735,0.33634,0.3356
-2.2981,-2.0848,-1.7534,-1.5355,-1.2247,-0.85489,-0.62037,-0.28334,-0.047748,0.34089,0.43575,0.29032,0.37501,0.33463,0.23079,0.16576,0.12515,0.15793,0.32665,0.50221,0.51952
-1.8173,-1.6428,-1.4448,-1.0934,-0.96048,-0.66255,-0.11214,0.14929,0.46419,0.60435,1.1465,1.1512,0.54868,0.32378,0.20853,0.26587,0.60975,0.89765,0.99847,0.93153,0.85663
-2.9036,-2.5437,-2.0762,-1.6834,-1.2415,-0.85275,-0.65944,-0.64772,-0.78467,-0.83305,-0.70724,-1.017,-1.1797,-1.3011,-1.3487,-1.2423,-1.0156,-0.84117,-0.51106,-0.23827,-0.25511
1.1111,1.5436,1.6945,1.8153,1.9196,1.7998,1.5967,1.2739,0.78556,0.49813,0.14315,-0.67695,-0.97548,-0.65662,-0.40153,-0.20518,-0.012628,0.097773,0.18105,0.19261,0.30319
-0.039991,-0.062164,-0.0027368,0.14223,0.081826,-0.23249,-0.74513,-0.96871,-1.1602,-1.2017,-1.3664,-1.171,-0.90334,-1.0848,-0.88556,-0.59323,-0.47395,-0.2155,0.21684,0.30451,0.11144
1.2693,0.9535,0.72214,0.48377,0.21936,-0.11132,-0.50544,-0.66572,-0.55556,-0.6953,-0.3973,0.39357,0.52686,0.45062,0.44027,0.70513,1.1376,1.4385,1.4548,1.3635,1.2494
3.0124,2.5797,2.0456,1.3917,0.59614,-0.17766,-0.99174,-1.3682,-1.3951,-1.2035,-0.78426,-0.35227,-0.22545,0.28843,0.41239,0.42639,0.35336,0.043815,-0.41141,-0.7767,-0.97958
-0.04952,-0.41334,-0.93005,-1.3665,-1.4053,-1.1715,-0.96595,-0.5327,0.7912,1.168,0.22878,0.27552,0.73275,0.20459,0.008564,-0.12305,-0.47292,-0.75568,-0.70402,-0.97435,-1.5713
