0.41302,0.29179,0.18626,-0.073494,0.035935,-0.091773,-0.25404,-0.39731,-0.49516,-0.49474,-0.54141,-0.6174,-0.74365,-1.0201,-1.0199,-1.2196,-1.3437,-1.3932,-1.5047,-1.6167,-1.6573,-1.618,-1.6987,-1.8793
-0.10325,-0.032268,-0.0024998,0.22118,0.055286,0.055635,0.079965,-0.037386,-0.17678,-0.33584,-0.43327,-0.37304,-0.2739,-0.1558,-0.29733,-0.26914,-0.31027,-0.38031,-0.40823,-0.3993,-0.37011,-0.43928,-0.43329,-0.40773
0.51995,0.28687,0.11902,-0.14183,-0.17856,-0.25227,-0.30266,-0.3546,-0.4175,-0.49619,-0.48988,-0.29041,-0.031415,0.033113,0.22548,0.31491,0.37577,0.38652,0.4564,0.54314,0.62592,0.78522,0.94249,0.99269
-1.5613,-1.429,-1.4399,-1.4119,-1.7157,-1.732,-1.6746,-1.5005,-1.35,-1.2514,-1.1364,-0.9542,-0.6808,-0.41358,-0.58107,-0.49051,-0.39395,-0.36265,-0.27939,-0.16915,-0.081094,-0.082747,0.09932,0.39085
-1.2797,-1.2473,-1.0881,-1.1045,-0.67888,-0.60752,-0.53043,-0.4576,-0.41202,-0.32311,-0.23993,-0.14655,-0.18834,-0.38456,-0.11499,-0.056965,0.043097,0.19348,0.2242,0.12785,0.039563,0.060871,-0.011009,-0.11624
-0.63116,-0.37383,-0.1748,0.14151,0.012519,0.1567,0.34818,0.47736,0.63513,0.71073,0.70695,0.71985,0.98874,1.4541,1.3566,1.1679,0.98223,0.90268,0.90873,0.93531,0.92559,0.79071,0.63948,0.52236
-1.5319,-1.4031,-1.1682,-1.0939,-0.83586,-0.68471,-0.54969,-0.49087,-0.63588,-0.79165,-0.9482,-1.2675,-1.5948,-1.7775,-1.443,-1.1855,-1.2369,-1.4482,-1.6745,-1.8349,-1.9299,-1.922,-1.8897,-1.713
0.77786,0.94473,1.0437,0.98437,0.73257,0.48012,0.1992,0.19956,0.25788,0.2224,0.17365,0.094961,0.16929,0.33845,0.11115,-0.2148,-0.41583,-0.45353,-0.40855,-0.36149,-0.26757,-0.16268,-0.030506,0.033761
1.4959,1.2948,1.0131,0.56654,0.37421,0.10111,-0.2057,-0.40618,-0.51009,-0.5383,-0.567,-0.65634,-0.76849,-0.89718,-0.82296,-0.7539,-0.61552,-0.56983,-0.52759,-0.48536,-0.45114,-0.36678,-0.24376,0.012618
-0.78752,-1.1146,-1.4293,-1.5567,-1.7221,-1.7599,-1.8409,-2.0353,-2.1037,-2.0988,-1.9843,-1.6431,-1.4553,-1.3479,-1.3582,-1.2102,-1.0138,-0.86866,-0.81481,-0.77618,-0.80487,-0.78578,-0.68936,-0.57615
0.78023,0.38326,0.025552,-0.26921,-0.45529,-0.42865,-0.28467,-0.25778,-0.22841,-0.17236,0.010551,0.47429,0.8377,0.84775,0.83865,0.72522,0.67677,0.72409,0.70605,0.68988,0.63108,0.60797,0.50016,0.25422
-1.156,-1.2916,-1.4794,-1.6694,-1.769,-1.5466,-1.0653,-0.64045,-0.34186,-0.15113,-0.0030729,0.44659,0.80959,0.73621,0.42282,0.26143,0.069917,-0.17234,-0.2505,-0.29469,-0.35943,-0.50316,-0.55541,-0.55498
