-0.58033,-0.47301,-0.54511,-0.30427,-0.20708,-0.45058,-0.70431,0.032974,0.68298,0.24937,0.43155,0.51949,0.30593,0.06936,-0.37154,-0.75087,-0.95863,-1.094,-1.3056,-1.4988,-1.6205,-1.5862,-1.6386
0.052742,-0.20196,-0.095847,-0.32073,-0.50727,-0.61175,-0.69947,-0.86289,-1.36,-1.0599,-1.2798,-1.2897,-1.0787,-1.2359,-1.1675,-1.1639,-1.234,-1.1662,-1.0276,-0.88496,-0.76802,-0.89252,-0.88255
0.81034,0.5691,0.16794,0.24267,0.020266,-0.53984,-0.92081,-1.017,-1.0976,-1.7036,-1.5369,-1.2614,-1.0826,-0.81031,-0.91318,-0.96829,-0.87523,-0.55915,-0.27772,-0.20986,-0.09243,0.26596,0.3796
-0.98871,-0.67684,-0.55387,-0.92733,-0.99872,-0.66933,-0.45131,-0.65522,-0.94199,-0.50168,-0.71162,-0.7862,-0.38517,-0.39802,-0.34156,-0.22557,-0.12275,-0.12072,-0.054837,0.0092189,-0.080405,-0.42824,-0.41952
-2.6341,-2.7523,-2.5343,-2.0878,-1.8532,-1.825,-1.7173,-1.428,-1.092,-1.5072,-1.0608,-0.76181,-1.0185,-0.9808,-1.0066,-0.95313,-1.1736,-1.1454,-1.1258,-1.3677,-1.5334,-1.1561,-1.1502
-0.14491,0.054943,0.11018,0.14922,0.066576,0.095437,0.2249,0.56994,0.85299,1.3903,1.0851,0.88103,1.0052,1.0846,1.008,0.64686,1.0022,1.0965,1.148,1.4967,1.6312,1.3331,1.2026
-0.99169,-0.74501,-0.77746,-0.66813,-0.55129,-0.3793,-0.14121,-0.27132,0.03623,-0.43828,-0.46704,-0.68741,-1.0491,-1.0524,-1.0383,-0.76019,-1.0784,-1.1284,-0.86228,-0.87011,-0.86813,-0.65987,-0.70414
1.3073,1.4949,1.4364,1.1486,1.07,1.1484,1.2102,1.2905,0.9958,0.98222,0.55106,0.20624,-0.028056,-0.27047,-0.71271,-1.2809,-1.2606,-1.3982,-1.6648,-1.8293,-2.1242,-2.4168,-2.5447
1.571,1.7225,1.6012,1.6624,1.6487,1.5585,1.5002,1.1806,1.2187,0.6511,0.7393,0.6347,0.37427,0.41407,0.35822,0.71055,0.53786,0.56433,0.67498,0.59524,0.51499,0.63198,0.74016
0.53848,0.58388,0.49967,0.36428,0.1744,-0.088228,-0.57172,-0.64177,-0.63121,-0.35843,-0.45778,-0.29596,0.090735,0.16023,0.24082,0.080138,0.47048,0.67052,0.65319,0.71476,0.74518,0.87411,0.91431
2.7227,2.5142,2.276,2.0433,1.8272,1.5128,1.2094,1.0226,0.83078,0.50648,0.83877,1.4839,1.8048,1.9173,1.7562,1.5929,1.6591,1.6187,1.3679,1.1195,1.0631,0.82251,0.5684
-0.26179,-0.0095213,0.15386,0.077952,-0.0057382,0.027997,0.026929,0.037291,-0.037723,0.23628,0.62663,1.156,1.8373,1.8369,1.6627,1.5003,1.1527,0.96238,0.62,0.049596,-0.51043,-0.58077,-0.57543
