-0.063511,-0.41404,-0.70765,-0.87113,-1.0642,-1.3361,-1.5956,-1.8301,-2.0713
1.4893,1.4288,1.3958,1.3465,1.2358,1.2102,1.2872,1.0508,0.89501
-0.32233,-0.64045,-1.027,-1.1431,-1.302,-1.53,-1.052,-0.51732,0.046242
-0.72246,-0.2336,0.067814,0.34302,0.8462,1.53,1.9246,2.1009,2.429
0.41456,0.31347,0.34026,0.23533,0.096282,-0.25774,-0.53538,-0.39838,-0.29927
-2.1237,-1.9779,-2.0275,-1.9133,-1.628,-1.1997,-1.3383,-1.3826,-1.3024
1.7435,1.876,1.7624,1.5414,1.815,1.8368,1.3268,1.4194,1.5579
-0.2303,-0.64475,-1.0732,-1.6057,-1.7921,-1.6849,-1.7675,-1.5502,-1.0209
-0.93992,-0.9889,-1.2363,-1.2611,-1.0696,-0.994,-0.73325,-0.10365,0.67568
-1.0597,-1.2695,-1.0564,-0.77057,-0.70874,-0.52201,-0.2209,0.031301,0.13515
-0.28357,0.38583,0.4314,0.76072,1.0324,0.87408,0.73404,0.39776,0.03116
0.33465,0.6568,0.54634,0.14277,-0.46591,-1.1428,-1.6722,-1.9595,-2.1069
