0.0063549,-0.027642,-0.23384,-0.42035,-0.30914,-0.30965,-0.47562,-0.75626,-0.88297,-1.0656,-1.2822,-1.5188
0.81569,0.49532,0.32522,0.34692,0.032055,0.098541,0.56286,0.44421,0.07224,-0.012414,0.17849,0.21667
-0.41516,-0.53873,-0.76792,-1.024,-1.0736,-1.347,-0.72621,-0.3888,-0.28699,-0.19091,-0.050615,-0.079253
-2.1153,-1.9986,-1.8338,-1.3659,-1.0215,-0.89686,-0.79135,-0.41476,0.1468,1.1685,1.516,1.7622
-0.067706,0.20845,0.47639,0.67535,0.81894,0.9416,1.1599,1.1137,1.1002,0.88835,0.78034,0.60715
-0.92257,-0.73547,-0.71783,-0.8292,-0.78003,-1.1205,-1.614,-1.6543,-1.8675,-1.8844,-1.9676,-2.0019
-1.1906,-1.1278,-1.0458,-0.7869,-0.54596,-0.058823,-0.21652,-0.2173,-0.08204,0.14217,0.17414,0.30897
0.97446,1.1058,1.1197,0.719,0.31788,-0.039909,-0.28309,-0.34344,-0.29972,-0.21254,-0.14234,-0.07185
-0.016409,-0.18274,-0.45326,-0.75421,-1.2429,-2.0537,-2.3607,-2.1331,-1.4849,-0.85474,-0.78427,-0.71553
1.6569,1.1147,0.5506,0.33506,0.46145,0.29871,0.61249,0.51026,0.44654,0.55081,0.4562,0.41455
-1.036,-1.3331,-1.3493,-1.5761,-1.751,-0.88874,-0.071831,0.057307,-0.19747,-0.53854,-0.80704,-1.2029
-1.1352,-0.91556,-0.78451,-0.024373,0.73759,0.65758,0.94438,0.45102,-0.3086,-0.59858,-1.0237,-1.3121
