-0.76829,-0.69187,-0.832,-1.0219,-1.1655,-1.3182,-1.5527
0.41724,0.40327,0.65768,0.71968,0.66903,0.85954,1.0084
-0.80801,-0.77471,-0.85972,-1.0853,-0.98379,-0.75966,-0.50991
-0.64062,-0.47331,-0.2138,0.076085,0.20445,0.34816,0.62484
-0.54235,-0.42897,-0.38855,-0.42483,-0.52561,-0.51974,-0.41161
-1.6,-1.5766,-1.2933,-1.1763,-1.0075,-1.1678,-1.5401
1.6893,1.6355,1.4759,1.4498,1.35,1.1309,0.78833
-0.24184,-0.45653,-0.65925,-0.82594,-1.0827,-1.1864,-1.2513
1.0378,0.89289,0.41626,-0.20095,-0.53991,-0.82757,-0.73569
-1.3299,-1.3374,-1.2401,-1.4151,-1.2163,-1.012,-0.80302
1.2926,1.1978,1.1255,1.0566,0.9057,1.2222,1.6322
-0.085754,0.38178,0.63408,0.64622,0.94013,1.1081,0.75611
