0.96235,1.1106,1.0548,1.0954,1.0696,0.87445,0.93772,0.88399,0.83717,0.56219,0.71293,0.70933,0.57191
0.64071,0.28929,0.43323,-0.018504,-0.029622,0.22691,0.077888,-0.088411,-0.10596,-0.018551,-0.12108,-0.30899,-0.15947
-1.6475,-1.3538,-1.6414,-0.94867,-0.67467,-0.56217,-0.4682,-0.62636,-0.73357,-1.028,-0.8202,-0.36288,-0.22879
0.29626,-0.34785,-0.6288,-1.0617,-1.0328,-0.68095,-0.51653,-0.079814,0.30177,0.9652,0.83006,0.77572,0.64693
-0.30171,0.33985,0.89264,1.7,2.0132,2.0983,2.547,2.3756,2.5841,2.0842,1.9489,2.054,2.2641
-0.29937,-0.63594,-0.58185,-0.47556,-0.38663,-0.27471,-0.17113,0.008943,0.13594,0.41848,0.27772,0.16025,-0.14821
-0.56037,-0.2062,0.11262,0.50847,0.33363,0.56775,0.9825,0.89409,1.0135,1.055,0.76968,0.67462,0.56856
2.2363,1.78,1.3525,1.489,1.379,1.33,1.4574,1.2659,1.3395,1.4072,0.85962,0.86529,0.77154
-1.5711,-1.3279,-1.2739,-0.75223,-0.6619,-0.89466,-0.78756,-0.86587,-0.53042,-0.75767,-0.92103,-0.45246,-0.47649
0.64292,-0.20617,-0.38043,-0.24301,0.24957,0.50669,0.77213,0.8724,1.2274,1.6477,1.6179,1.4177,1.2282
-1.2605,-1.1464,-1.6802,-1.7741,-0.64527,-0.074539,-0.0029482,-0.296,-0.80491,-0.99925,-1.0016,-0.68963,-0.74618
-0.35107,-0.55845,-0.67402,-0.5846,-0.38347,0.24798,0.69685,0.71804,0.76017,0.79392,0.32766,0.022011,0.067051
