0.81672,0.8514,0.82271,0.45718,0.70809,0.81763,0.98307,0.61241,0.58657
0.11691,0.15152,0.1967,-0.74175,-0.46425,0.40314,0.41339,0.56706,0.50098
-0.028961,-0.0018837,0.71258,0.49449,0.35696,0.53649,0.69103,0.6336,0.64326
-1.6135,-2.0249,-1.3438,-0.9551,-1.2031,-0.7962,-0.85045,-0.53083,-0.58608
0.035825,0.18508,0.71682,1.76,1.7904,1.4375,1.6956,1.8559,2.0316
-0.36342,-0.39177,0.21814,1.5199,1.0592,0.30898,0.44687,0.16664,-0.35788
1.3282,1.3023,2.0207,3.1889,2.8716,1.8017,1.452,1.8766,1.6225
2.0788,1.9312,2.4332,3.4031,2.8139,1.7795,1.8335,1.8133,1.2217
0.30159,0.46238,0.68703,1.457,0.79618,-0.24283,-0.38164,-0.46005,-0.19292
0.13805,0.3704,0.39458,0.56138,0.51608,0.75892,0.34963,0.65453,1.18
1.43,1.3811,1.2446,0.12891,0.52758,1.8214,1.8714,2.5141,2.6367
-0.95152,-0.87453,0.075889,0.34551,0.56066,1.4377,1.3956,1.4858,1.289
