-0.43377,-0.35045,-0.5746,-0.18086,0.15412,0.28952,0.55733,0.65438,0.71588,0.81723,0.58965,0.46464,0.24477,0.45414,0.36925,0.51475,0.70327
1.5809,1.6513,1.8119,1.6402,1.3499,0.99924,0.40277,0.7192,0.89653,0.55223,0.60392,0.48164,0.38863,0.063934,-0.014252,-0.092131,-0.23621
-0.71786,-0.94274,-1.3321,-1.3131,-1.3737,-2.1143,-2.422,-1.8475,-1.2813,-0.96947,-1.252,-1.3633,-1.2963,-1.0826,-0.62315,-0.19219,0.21645
0.48116,0.67013,1.0566,0.83774,0.77365,0.92672,1.1172,1.0479,0.8453,0.71977,1.0109,1.4191,2.0033,1.8098,1.7355,1.341,0.96012
-2.6574,-2.5994,-2.7713,-2.5143,-2.4053,-1.9682,-1.4628,-1.0132,-0.41932,0.29842,0.067992,0.083977,0.14727,0.62109,0.84404,1.4568,1.6254
0.10943,-0.022998,0.21659,0.21334,-0.11271,0.1531,0.35934,0.39688,0.54224,0.50467,1.1517,1.3117,1.4752,1.3299,1.2602,0.64938,0.45495
1.2873,1.2696,0.71173,0.60099,0.75338,0.79892,0.57888,0.29671,-0.075914,0.17504,-0.39287,-0.53614,-0.586,-0.4053,-0.25458,-0.076515,0.033705
1.0369,0.90727,0.97873,0.91878,0.48316,0.72798,1.0665,1.6057,1.8464,1.8228,1.908,1.8279,2.2485,2.2042,1.8243,1.5097,1.1954
1.4095,1.0088,0.49081,0.35346,0.33964,-0.20258,-0.76329,-1.495,-1.9851,-1.7623,-1.8083,-1.556,-1.7062,-1.3118,-0.60796,-0.34346,-0.27913
-1.2753,-1.8117,-2.2307,-2.248,-2.1808,-1.5837,-0.52417,-0.22512,0.57259,0.7823,0.84809,1.1353,1.3891,1.1694,0.87363,0.85122,1.075
1.8994,2.2156,2.1526,1.4485,0.84517,0.334,0.2307,0.18581,0.53636,0.68167,1.1892,1.1158,0.64985,1.0319,1.0801,0.76065,0.75266
-1.9433,-1.8859,-1.6978,-1.4529,-1.1959,-0.91824,0.42555,0.80221,0.99241,1.2467,0.91848,0.84224,0.72597,-0.13866,-0.36669,-0.93481,-1.5086
