1.304,1.0461,0.8645,0.93119,0.95172,1.0201,0.9565,0.83567,0.75618,0.50982,0.24731,-0.27563
-0.013276,0.055754,0.07893,0.061535,0.12084,0.043877,0.028208,-0.075753,-0.25299,-0.3183,-0.26267,0.053781
-0.11724,-0.34785,-0.53384,-0.49265,-0.49359,-0.16008,-0.047981,0.0099613,0.16729,0.18911,0.414,0.40933
-1.0752,-1.0099,-0.84258,-0.80608,-0.61842,-0.8275,-0.74178,-0.50448,-0.45001,-0.40393,-0.18055,0.60496
0.61048,0.83805,0.8523,1.0732,1.2334,1.66,1.8151,1.8741,1.9813,2.2384,2.0034,1.4762
-0.13982,0.25046,0.32161,-0.0017025,-0.32295,-0.55723,-0.5949,-0.32115,0.17358,0.29502,0.15668,-0.13208
-0.14257,-0.12334,-0.1165,-0.16181,-0.2708,-0.60885,-0.70843,-0.69728,-0.69512,-0.28751,-0.26437,-0.68519
1.2468,1.3252,1.3385,1.0808,0.87548,0.6378,0.50991,0.43224,0.67033,1.0333,0.98148,1.0041
0.3278,-0.10703,-0.34165,-0.44132,-0.666,-0.84661,-0.90142,-0.7364,-0.43702,-0.41419,-0.48287,-0.59658
-1.0494,-1.106,-1.1251,-1.0213,-0.59392,-0.39648,-0.31864,-0.14451,-0.30657,-0.19495,-0.23029,-0.37927
-1.1393,-1.2688,-1.4207,-1.3536,-1.0626,-0.4373,-0.30485,-0.095548,0.35234,0.21919,0.36854,0.20491
-1.2312,-1.1352,-1.0166,-0.65046,-0.25464,0.070043,0.24873,0.25696,-0.33257,-0.73623,-1.0135,-1.2331
