0.20764,0.26288,-0.096843,-0.16934,-0.13856,-0.29198,-0.30423,-0.46239,-0.60492,-0.87712
0.023465,0.38638,0.65698,0.93602,0.85008,0.85065,0.70211,0.60526,0.66578,0.9044
-3.1184,-2.8704,-2.6477,-2.413,-2.3273,-2.0545,-1.8143,-1.5158,-1.4128,-1.8366
2.2725,1.9162,1.6794,1.3148,1.2127,1.3275,1.4025,1.4762,1.4571,1.9759
-2.3361,-1.6855,-1.8118,-1.6549,-1.3383,-1.06,-0.84919,-0.33057,0.26596,-0.060168
-0.65278,-0.7501,-0.062156,0.26239,0.12399,0.65702,1.624,1.5483,1.2433,1.6765
1.6173,1.6731,1.006,0.74099,0.75288,-0.15623,-0.96755,-0.61957,-0.30047,-0.55959
1.074,0.68575,0.60439,0.81059,0.57287,1.2851,2.4258,2.3942,2.0749,2.1779
1.2438,1.094,0.83587,0.79848,0.89154,-0.027806,-1.0229,-0.89297,-0.75757,-1.1768
-0.97454,-1.7693,-1.5324,-1.6918,-1.667,-0.35751,0.93386,1.0278,0.8435,0.83641
1.4616,1.1578,1.502,1.7095,1.9848,1.3649,0.62091,0.82567,1.1531,1.1136
-1.0215,-0.99204,-0.47589,-0.60961,-0.61877,0.41992,0.82873,1.0858,0.82276,0.37323
