1.6164,1.8482,1.8387,1.3855,1.9628,1.2869,1.561,1.6448,1.6707,1.5446,1.4025,1.1877,1.0968,1.0341,1.1839,1.0979,1.072,0.70025,0.42655,0.11492,-0.36022,-0.49531
1.2827,0.85697,0.68759,0.78642,0.33979,0.39333,0.010944,-0.1228,-0.080854,0.0037222,0.1124,0.13988,0.2932,0.18852,-0.12211,0.013972,-0.025381,-0.083134,-0.044313,0.045908,0.25711,0.20444
1.3224,1.9478,1.8219,1.0102,0.9707,0.2736,0.37417,0.56034,0.53374,0.30926,0.36089,0.48477,0.29115,0.13894,0.38299,0.7713,1.0707,0.99491,1.0358,0.86941,0.41206,0.28761
-0.33003,-0.93922,-0.78812,-0.4298,-1.0786,-0.46883,-0.59115,-0.4698,-0.3959,-0.036766,-0.2787,-0.49761,-0.19059,0.0045466,-0.14906,-0.2135,-0.14481,0.15001,0.43158,0.84187,1.5675,2.0097
0.33778,0.49447,0.26403,-0.093206,0.47466,-0.031354,0.35194,0.432,0.49325,0.17656,0.29159,0.32005,0.084109,-0.015113,0.32596,0.70713,0.89011,0.67492,0.59616,0.61281,0.1536,0.028404
-1.6094,-1.2504,-0.84107,-0.2068,-0.27564,0.48435,0.30264,0.31404,0.61847,1.1182,1.4489,1.3946,1.1738,1.2356,0.76996,0.020811,-0.25801,-0.014619,-0.13465,-0.40695,-0.28472,-0.50688
-0.57963,-0.67528,-0.42959,-0.30262,-0.53915,-0.7979,-0.77665,-0.96043,-0.51311,-0.4829,-0.7987,-0.97786,-1.1505,-1.5336,-1.5685,-1.6532,-1.6274,-1.1351,-0.91518,-0.5926,-0.25938,0.30487
0.73631,0.89834,0.80807,0.78382,0.04337,0.26231,0.045349,0.10824,0.35971,0.16009,-0.27253,-0.48834,-0.5863,-0.46661,-0.42625,-0.63479,-0.92786,-0.80847,-0.78401,-0.76481,-0.63154,-0.80622
0.61317,0.65033,1.0221,0.88891,0.71743,0.89516,1.1127,1.0262,0.53738,0.26137,0.2135,0.056515,-0.18022,-0.096466,0.17347,0.24573,0.43283,0.30314,0.38513,0.283,-0.1131,-0.042814
-0.54424,-0.45382,-0.38706,-0.27163,-0.089119,-0.17063,-1.1701,-1.8742,-2.8149,-2.5354,-2.0653,-1.7121,-1.774,-1.903,-2.0154,-1.5868,-0.92892,-0.59437,-0.55286,-0.36248,0.10956,0.12107
1.2679,1.4165,1.2038,0.57864,-0.0508,-0.60044,-0.96751,-0.78203,-1.4023,-2.2471,-2.3534,-2.04,-1.5432,-1.2654,-0.62006,-0.029624,0.16309,0.30083,0.38641,0.12344,-0.29189,-0.41004
0.85601,0.8023,0.85142,0.41928,0.36626,0.0032619,0.23235,0.41295,0.31341,0.35253,0.20251,0.15452,0.36658,0.3758,0.33761,0.56407,0.89875,1.0323,1.0888,1.1765,0.93832,0.90749
