0.80659,0.91345,1.0601,1.1353,1.1943,0.98449,1.7221,1.6667,1.1746,2.469,1.5623,1.4588,1.6339,1.5639,1.6589,1.9054,1.9721,1.8888,1.622,1.6383,1.7133,1.66,1.4159,1.2189,1.0151,1.0784
2.1035,1.9711,1.6905,1.2702,0.89315,0.63702,0.0054922,0.061217,0.66003,-0.32589,0.20244,0.40087,0.34774,0.34314,0.14227,-0.16422,-0.037328,0.021285,-0.033277,0.046321,0.23152,0.22278,-0.0096784,0.03814,0.16213,0.3576
2.1076,2.23,2.0332,1.9137,1.7627,1.3923,1.4638,0.57546,-0.54322,0.1769,-0.58797,-0.64385,0.10958,0.47323,0.53785,0.75244,0.89883,1.1339,0.8317,0.66344,1.0308,1.2047,1.4596,1.8088,1.8765,1.6496
0.466,0.090593,0.046144,-0.2608,0.34308,0.82114,0.080283,0.33387,1.5237,0.66184,1.3802,1.3093,0.4981,0.2394,0.45802,0.75131,0.8103,0.50575,0.656,0.82024,0.032155,0.22492,1.0718,1.5135,2.1171,2.3818
-1.4241,-0.82961,-0.48129,-0.66134,-0.8846,-1.3271,-0.57462,-0.076926,-0.84267,0.52237,0.13274,0.21446,0.64479,0.54655,0.43751,0.78443,1.0743,1.1056,0.83011,0.60424,0.79678,0.93032,0.59998,0.50171,0.17657,0.13278
-1.5998,-1.8175,-1.5888,-0.20613,-0.52028,-0.14586,-0.18141,-0.41305,0.13949,-1.0744,-0.26983,0.082887,0.0099031,0.26122,0.1141,-0.58402,-0.77871,-0.26542,0.11156,0.37264,0.62574,-0.16715,-0.67753,-1.2134,-1.8278,-2.0917
0.27264,0.01759,0.40334,0.40889,0.70739,0.74659,1.1181,1.5821,1.1093,1.2169,0.65266,0.036475,0.32066,0.67357,1.2527,1.3247,1.1321,0.84093,0.8881,0.94365,0.43036,0.15558,0.17402,0.083856,-0.27326,-0.51019
0.086538,0.29845,0.28864,0.47784,0.81182,1.2942,0.46535,0.25353,0.89464,0.1449,0.52911,0.88016,-0.07686,-0.60948,-0.79419,-1.0381,-0.94275,-0.36781,-0.1036,-0.35221,-1.5887,-2.236,-2.033,-1.7723,-1.4671,-1.64
0.66339,0.4755,0.21461,0.37038,0.60073,0.38661,0.26161,0.12128,-0.55463,-0.14638,-0.60726,-1.1898,-0.97933,-0.96827,-0.95691,-0.3777,-0.31097,-0.79903,-0.74228,-0.35426,0.30635,0.84317,1.2652,1.4204,1.4743,1.3705
0.010219,-0.15914,0.36488,0.017394,-0.39324,-0.67666,-0.30112,-0.063308,-0.69931,-0.98824,-0.71508,-0.21663,0.25972,0.74132,0.93062,0.56137,0.2534,0.66862,0.5787,0.34801,0.94232,1.2003,0.84925,0.13374,-0.70094,-1.0726
1.8881,1.8663,1.0099,0.35778,-0.14946,-0.15335,-0.77135,-2.3194,-2.0365,-1.9627,-2.0634,-1.6474,-1.1572,-0.9964,-0.9382,-1.5449,-1.6541,-1.4958,-1.4909,-1.8998,-2.3554,-1.6228,-1.5282,-1.6624,-1.5988,-1.2634
0.61103,0.56169,0.79258,0.091833,0.32476,0.003356,-0.25349,-0.32715,-0.61338,-0.20161,-0.21194,-0.5635,-0.074072,0.38106,0.52263,1.642,2.0763,1.3704,0.56107,0.42136,0.9684,1.167,1.1848,1.3734,1.0532,0.65035
