1.3092,1.6192,0.97604,1.5034,1.6115,1.7657,1.0993,1.9081,1.4164,2.0054,2.311,2.9097,2.1669,2.0128,1.2286,1.4217,1.9925,2.2465,2.2869,1.9959
2.1707,1.8016,1.9016,1.2978,1.3671,1.2675,1.2954,0.66599,1.5356,1.1408,0.41194,-0.39516,0.022234,0.16963,0.46196,0.079065,-0.44001,-0.61884,-0.71161,-0.72335
1.0695,0.91015,0.59308,0.63921,0.11282,-0.038083,-0.2999,0.36397,-0.24153,-0.13679,0.56807,1.6478,1.3844,1.4749,0.8371,1.3878,2.192,2.3456,2.4468,2.4024
2.0401,1.7886,1.9298,1.884,1.8837,1.7928,2.2218,1.6178,1.6646,1.6545,1.4362,0.25224,0.6185,0.68512,1.8169,1.4402,0.76119,0.50314,0.51507,0.56696
-4.2682,-3.711,-3.7223,-3.0834,-2.437,-2.3572,-2.4882,-1.8882,-2.2218,-1.74,-1.0988,0.1007,0.089839,-0.094534,-1.0925,-0.55262,0.26632,0.66889,0.74349,0.80809
-1.1795,-1.2184,-0.44106,-0.5505,-0.80574,-0.20656,0.81252,0.80421,1.2122,0.57442,0.27253,-0.31678,0.4118,0.98645,1.8387,1.2692,0.24603,-0.063924,-0.066794,0.2192
-2.0713,-1.3579,-0.90174,-0.89058,-0.55454,-0.14551,-0.60539,-0.50529,-1.2723,-1.5947,-1.0381,-0.56629,-0.67023,-0.74335,-1.2539,-0.75033,-0.56793,-0.74431,-0.71779,-0.60721
-1.0354,-0.88098,-0.62758,-0.58145,-0.8569,-0.66688,0.29017,-0.35445,-0.85382,-1.0481,-1.158,-1.6147,-1.1747,-1.3232,-0.51107,-0.86427,-1.3597,-1.3031,-1.2035,-0.84311
-0.10137,0.13103,-0.12049,0.1655,0.19887,-0.18359,-0.65293,-0.18242,-0.63244,-0.75067,-0.26094,0.21644,0.16024,0.19101,-0.22617,0.41472,0.92105,0.93213,1.0864,1.1945
1.1728,1.0505,1.0384,0.70585,-0.61028,-1.1057,-0.61377,-0.49696,-0.31539,-0.26759,-0.49058,-1.2347,-1.2771,-0.89079,-0.07336,-0.10301,-0.19907,-0.46495,-0.88277,-1.0569
-0.99529,-1.1983,-1.2015,-2.1445,-2.3132,-2.9031,-2.8108,-3.0708,-3.1094,-3.0022,-2.2756,-1.7361,-1.3205,-0.72031,-0.73847,-0.16318,-0.059187,0.43499,0.95068,0.86899
1.8674,1.1859,0.69511,0.99371,0.63176,0.56499,0.92849,1.4154,0.78604,0.77139,1.0844,0.93599,1.6188,1.9142,1.9993,1.7068,1.3155,0.7297,0.5395,0.24964
