0.19419,0.41629,0.54424,0.49221,0.76797,0.51456,0.41624,0.24343,0.23665,0.37942,0.11203,-0.18502,0.36745,0.44789,0.11525,0.082889,-0.58108,-0.29431
-1.2326,-1.5797,-1.5985,-1.6204,-2.5928,-2.6577,-2.5815,-2.5758,-2.4758,-2.738,-3.0442,-2.5253,-2.8733,-3.0558,-3.0015,-3.2099,-2.7615,-3.3904
0.63005,0.87967,0.61106,0.34169,0.52381,0.31842,-0.10381,-0.32099,-0.048707,0.44661,0.29996,-0.025772,0.31386,0.42193,0.31814,0.32256,-0.13263,0.12577
-0.52388,-0.41336,0.10023,0.6445,0.5452,0.47699,0.60396,0.77057,1.0447,0.54511,0.52256,1.3264,0.98179,0.84473,1.2591,1.3065,2.2219,1.8982
-2.7801,-2.8823,-2.851,-2.9248,-2.4708,-2.2554,-1.9314,-1.8421,-1.9676,-1.7997,-1.719,-2.1362,-1.6597,-1.501,-1.6584,-1.5936,-2.2017,-1.659
0.72018,1.2045,0.89023,0.979,0.87727,0.81672,0.61829,0.74932,0.68166,1.0934,1.408,1.303,0.87974,0.76051,0.74232,0.69356,0.98859,0.53003
2.6053,2.5526,2.6044,2.3768,2.3713,2.2046,1.9417,1.7117,1.6572,1.8202,1.9989,1.5751,1.6208,1.6125,1.4244,1.4501,0.9593,1.3315
-0.47772,-0.54076,-0.37281,-0.32604,-0.5498,-0.54726,-0.53214,-0.4286,-0.42393,-0.88156,-0.90161,-0.74963,-1.0992,-1.2233,-1.0611,-1.0384,-0.53095,-0.6594
-0.55263,-0.21833,-0.32889,-0.45493,0.2583,0.014108,-0.29859,-0.31545,-0.27916,0.12614,0.17731,-0.15064,0.29668,0.41911,0.42209,0.5781,0.18504,0.77075
1.153,0.51989,0.12275,0.024869,-0.47136,-0.44086,-0.28131,-0.30734,-0.077123,0.30102,0.38466,0.71248,0.65891,0.68239,0.80635,0.73325,0.99233,0.61495
-0.12623,0.16478,0.29192,0.097574,0.21806,0.44573,0.74528,0.91348,1.1175,1.3113,1.1337,0.9506,1.3734,1.607,1.4009,1.4805,0.91359,0.96894
-1.8156,-1.684,-1.5239,-0.80418,-0.11552,-0.12135,0.11526,0.38537,0.45969,-0.039963,-0.3418,0.11373,-0.33259,-0.69954,-0.5409,-0.61217,-0.22658,-0.5904
