0.41003,0.30727,0.13548,0.14582,0.039826,-0.0052918,-0.13162,-0.2804,-0.30749,-0.53427,-0.50858
-0.51524,0.14241,0.66246,0.50099,0.14253,0.24135,0.71469,0.63025,0.46161,0.1919,-0.22494
0.15961,-0.45192,-1.5268,-1.7095,-0.94381,-1.0007,-1.5486,-1.1164,-0.92557,-0.67174,-0.25334
-1.1849,-0.75698,0.1846,0.62498,0.096306,0.31029,0.76313,0.85904,1.2243,1.3672,1.526
0.016211,-0.80862,-1.9144,-1.5248,-0.72362,-0.27591,-0.19638,-0.59019,-0.97012,-0.74845,-0.34426
-0.48866,-0.46214,0.92582,0.99729,1.0659,1.2356,0.8005,0.95741,0.88026,0.30636,-0.28812
0.47819,0.18853,-1.3657,-1.2113,-0.4323,-0.50169,-0.75155,-0.69143,-1.1128,-0.90603,-0.55794
1.1082,0.61705,0.78593,0.82108,0.43536,0.39739,-0.054891,0.039508,0.26325,0.12168,0.29649
0.57782,0.29566,-0.99867,-1.37,-0.62305,-0.60006,-0.80737,-1.2986,-1.3748,-0.93175,-0.27985
0.20233,-0.47512,0.33345,0.87965,0.87109,0.70072,0.15622,0.60227,0.64523,0.40457,0.32336
-0.71512,1.1249,2.0766,1.2985,1.2597,1.5706,1.5535,1.6329,1.034,0.47845,0.071445
1.3913,0.6361,1.0625,1.0007,0.70668,0.99167,0.35612,0.18568,-0.14391,-0.42953,-0.55935
