1.0765,1.1456,1.3126,0.78312,0.21574,-0.027909,0.071287,-0.22611,-0.52873,-0.41486,-0.21407,-0.22312,-0.37796,-1.2795,-1.6488
2.2104,1.7886,1.1451,1.2613,1.2798,1.0769,0.74379,0.56415,0.47966,0.39091,0.14987,-0.32921,-0.60582,-0.12629,0.191
-0.77402,-1.0038,-0.067634,-0.050165,-0.3015,-0.24541,0.1519,0.37344,0.51782,0.73156,1.1264,1.4219,1.3,0.8035,0.5575
-1.2062,-1.1756,-1.9207,-1.77,-1.0256,-0.52032,-0.92718,-1.0293,-0.93539,-0.99144,-0.79444,-0.32826,0.46624,1.3972,1.6635
-1.6802,-1.2512,-0.48402,-0.4964,-0.41265,-0.461,0.13297,0.13709,0.082023,0.52719,0.87806,1.0864,0.78816,-0.022579,-0.10287
-0.57243,-0.57428,-0.66078,-0.082864,0.055502,0.64125,0.71203,1.0899,1.2128,0.87358,0.57479,0.36742,0.099856,0.54401,0.48213
-0.92529,-0.65711,-0.25321,-0.3242,-0.21424,-0.33865,-0.58141,-1.4685,-2.1579,-2.2564,-1.982,-1.9182,-1.6853,-1.9657,-2.2812
0.5259,0.48254,0.035692,0.044641,0.28809,0.52084,0.36815,0.38773,0.24601,0.0063354,0.080118,0.45529,0.65045,1.0539,1.2081
-1.8379,-1.6572,-0.97079,-1.0303,-1.2249,-1.4779,-1.3372,-1.2417,-1.1525,-0.97123,-0.56848,0.0884,0.40185,0.08284,0.011243
-0.11006,0.0037218,-0.34196,-0.66066,-1.046,-1.1414,-1.3653,-1.2329,-0.63302,-0.024521,0.075859,-0.4847,-0.8914,-0.67525,-0.6169
0.30852,-0.15426,0.11576,0.42696,0.33697,0.16175,0.11847,0.2469,0.75392,1.4337,1.8766,1.4852,0.81397,-0.061714,-0.56418
-2.2208,-1.8268,-1.4117,-1.3649,-0.9482,-0.43564,-0.34116,-0.47746,-0.43591,-0.53303,-0.91807,-1.3367,-1.6474,-1.8552,-2.146
