-0.51548,-0.72854,-0.75758,-0.34319,0.1357,0.13802,0.037401,-0.26195,-0.69463,-0.91195,-0.77805,-1.0494,-0.99196,-0.93816
2.1325,2.692,2.6192,1.9728,1.7372,1.4194,1.2145,1.6698,1.6592,1.4732,1.5542,1.6079,1.2891,0.88274
0.72546,0.99087,0.52673,0.13687,0.61402,0.61885,-0.026883,-0.45791,-0.34983,-0.36267,-0.66544,-0.88827,-0.60549,0.29769
-1.3269,-1.5634,-1.2754,-0.8199,-1.1845,-0.63662,-0.38592,-0.31094,0.33619,0.81911,1.3226,1.7163,1.9764,1.7572
-0.30295,-0.28024,0.060587,0.71918,1.1033,1.2845,1.8308,1.7848,1.2681,1.1859,1.4572,1.4103,0.98979,1.5419
1.0363,1.1417,1.6031,1.056,0.77599,0.56889,0.33316,0.81594,0.84092,0.70873,0.26777,0.12437,0.21248,0.067017
0.70163,0.20355,0.48258,0.96876,0.48071,0.32033,0.44,0.24887,0.61494,0.80512,0.43307,0.15191,0.23061,0.49646
-0.16289,0.2014,-0.076851,-0.066423,-0.09616,-0.10829,-0.15307,-0.53477,-0.45462,-0.10461,0.008001,0.15239,0.14573,0.22524
0.24903,-0.15743,-0.32185,0.60745,0.67467,0.78873,0.64377,0.39099,0.59414,0.78646,0.55204,0.53528,1.2603,1.7876
1.6325,1.6473,1.0331,-0.083672,0.83597,0.59959,0.6918,0.51454,-0.5075,-1.1371,-0.23793,-0.18822,-1.32,-0.72369
-0.0049992,0.39744,0.72717,0.71907,0.63126,0.16179,0.025884,0.22085,1.3197,1.9041,0.84019,0.60882,1.3923,0.90863
0.73446,0.3678,0.81856,0.55324,0.51934,0.74878,0.45131,-0.44604,-0.84378,-1.1448,-0.81533,-1.07,-1.231,-0.12043
