-0.1118,0.29756,0.15791,-0.11358,-0.018025,0.17472,0.16712,0.24109,0.20143,-0.069169,-0.18851,-0.091658,-0.19327,-0.29832,-0.28884,-0.17751
2.3977,2.3717,2.1468,1.8994,1.8706,1.9758,2.098,2.3005,2.114,1.9196,1.5631,1.8437,1.9083,1.4287,1.2664,0.93825
0.71322,0.23822,0.18439,-0.029447,-0.34622,-0.10537,-0.54781,-1.1623,-1.0295,-0.84699,-1.5033,-1.5661,-1.0575,-0.44013,-0.52045,-0.46708
-0.89034,-1.111,-0.73437,-0.85232,-1.2425,-1.418,-1.094,-0.66439,-0.80207,-0.68281,0.23364,-0.31356,-0.11798,0.2189,0.34639,0.28118
0.1565,0.71291,0.66381,1.1299,1.4603,1.3491,0.99075,0.75064,1.0069,0.67776,0.2631,1.035,0.87764,1.1245,1.2862,1.6294
-0.63476,-1.7886,-1.9255,-1.0706,-0.33811,-0.008055,0.91717,1.3074,1.1971,1.5062,1.7442,1.625,2.1575,1.517,1.5393,1.3691
0.14862,-0.32402,-0.15188,-0.16878,0.52957,0.50655,0.027489,-0.13561,0.30837,0.32235,0.056608,-0.46191,-0.36741,0.040861,0.36714,0.78179
-0.0040767,-0.12482,-0.53535,-0.27335,0.10519,-0.192,-0.25599,0.054351,-0.66319,-1.2858,-0.72375,-1.0181,-0.61338,-0.18108,-0.39349,-0.52525
1.5772,1.9992,2.1155,2.1324,1.329,0.90341,0.52889,-0.22617,-0.060521,0.12824,-0.091255,0.066431,-0.27195,0.00098931,0.4903,0.941
1.274,1.2335,1.1115,1.7812,1.5626,1.4613,0.97612,-0.37064,-0.80334,-0.20328,0.044204,-0.85313,-0.34943,0.26083,0.19518,0.24581
1.015,1.4681,1.1049,1.1383,0.69309,0.75816,1.219,1.0286,0.34734,0.24206,-0.39534,1.2954,1.0019,0.13662,0.14077,0.40841
0.38848,-0.89209,-0.15785,0.1066,-0.075039,0.22255,-0.29746,-1.4879,-1.3365,-0.60239,-0.90886,-2.2725,-1.3104,-0.51226,-0.45713,-0.39926
